날짜,두바이 디저트,아인슈페너,타르트,휘낭시에,티라미수
2024-09-14,14.84697,0.99672,0.9608,1.23826,0.34396
2024-09-15,14.78276,1.13125,0.9501,1.1259,0.34243
2024-09-16,12.68077,1.16183,0.82321,1.03112,0.34702
2024-09-17,12.63185,1.34527,0.92334,0.95392,0.35237
2024-09-18,11.2323,1.15953,0.87672,1.05329,0.30345
2024-09-19,10.09493,0.81557,0.85608,1.12361,0.31033
2024-09-20,9.72421,0.78805,0.92564,1.25814,0.29122
2024-09-21,10.64909,0.98144,0.93863,1.16183,0.33861
2024-09-22,9.57669,1.03723,0.97838,1.15036,0.35772
2024-09-23,8.80239,0.70703,0.8836,1.22603,0.29657
2024-09-24,8.28874,0.77659,0.98832,1.21533,0.28128
2024-09-25,8.0816,0.81863,0.98679,1.23903,0.34243
2024-09-26,8.18555,0.82551,1.1152,1.26807,0.28587
2024-09-27,7.71623,0.82474,0.98144,1.25355,0.29733
2024-09-28,8.23065,0.98144,0.93175,1.01278,0.27058
2024-09-29,7.95013,1.00055,1.03494,1.03418,0.32944
2024-09-30,6.77989,0.83009,0.98908,1.171,0.373
2024-10-01,7.04971,0.9822,1.02577,1.11979,0.506
2024-10-02,6.41147,0.77964,0.95315,1.10832,0.63442
2024-10-03,6.8311,1.02424,1.03494,1.0487,0.61454
2024-10-04,6.22649,0.83697,0.98908,1.10985,0.50677
2024-10-05,6.5888,0.93252,0.97532,1.05482,0.55492
2024-10-06,6.89684,0.93175,0.99061,1.06475,0.5832
2024-10-07,6.49937,0.66958,1.02348,1.13125,0.5083
2024-10-08,5.93909,0.78652,0.96462,1.09533,0.6497
2024-10-09,6.03922,0.98679,0.99672,1.03494,0.75366
2024-10-10,5.99871,0.80563,1.0273,1.14195,0.60766
2024-10-11,5.47742,0.74372,0.96768,1.13889,0.60002
2024-10-12,5.78469,0.93405,0.9478,1.03036,0.76054
2024-10-13,6.77683,0.96538,1.02042,1.0938,0.62907
2024-10-14,6.15464,0.74219,1.06246,1.2375,0.62677
2024-10-15,5.81297,0.77353,1.00972,1.27724,0.60613
2024-10-16,5.68303,0.8041,1.06475,1.27877,0.64741
2024-10-17,5.49652,0.80716,1.08157,1.32234,0.59926
2024-10-18,5.35818,0.80563,0.94704,1.24285,0.61836
2024-10-19,5.37499,0.96615,1.0273,1.19852,0.69021
2024-10-20,5.36582,0.95621,1.03341,1.15189,0.64435
2024-10-21,4.85828,0.73225,1.0724,1.33992,0.53428
2024-10-22,5.14874,0.69251,1.03265,1.31776,0.53123
2024-10-23,4.87281,0.80793,1.09533,1.24514,0.53123
2024-10-24,4.82389,0.78805,1.06093,1.31623,0.5404
2024-10-25,4.431,0.84003,1.07469,1.3017,0.55034
2024-10-26,4.62133,1.07927,1.08539,1.17941,0.56486
2024-10-27,5.21218,1.12514,1.15571,1.26349,0.58855
2024-10-28,5.76405,0.78652,1.08157,1.25661,0.51976
2024-10-29,5.05625,0.83315,1.14042,1.27724,0.49377
2024-10-30,4.5533,0.83544,1.10832,1.56006,0.47237
2024-10-31,4.18488,0.86296,0.97914,1.41177,0.57862
2024-11-01,4.32399,0.84997,0.94169,1.33075,0.47543
2024-11-02,4.09545,0.93252,0.97074,3.57415,0.48766
2024-11-03,4.04041,0.93557,0.9822,1.38426,0.69021
2024-11-04,4.33546,0.69251,1.00666,1.50273,0.51747
2024-11-05,4.5426,0.79799,1.02806,1.56235,0.52205
2024-11-06,4.38285,0.74678,1.0059,1.54248,0.45785
2024-11-07,4.44706,0.76436,1.05711,1.71217,0.43415
2024-11-08,4.29265,0.81175,1.00055,1.72745,0.43874
2024-11-09,4.08093,0.88207,0.93481,4.20857,0.44868
2024-11-10,4.65267,0.90882,1.01125,2.02403,0.43645
2024-11-11,4.83306,0.64053,1.04641,2.43372,0.43645
2024-11-12,3.73238,0.72996,0.97761,1.65408,0.4074
2024-11-13,3.4702,0.76283,0.94475,1.58528,0.41734
2024-11-14,3.23325,0.76206,0.94016,1.37126,0.41275
2024-11-15,2.96954,0.7162,0.99214,1.3147,0.38065
2024-11-16,3.03069,0.99596,0.93252,1.38502,0.38218
2024-11-17,3.59785,0.8943,0.94475,1.19928,0.41352
2024-11-18,3.37848,0.71926,0.97914,1.26807,0.34854
2024-11-19,3.66358,0.72002,1.03494,1.39266,0.3623
2024-11-20,3.00165,0.69327,1.07087,1.31852,0.35466
2024-11-21,3.37618,0.70244,1.08998,1.35827,0.33631
2024-11-22,2.65157,0.74143,1.05482,1.22909,0.34702
2024-11-23,2.66533,0.89353,0.99672,1.16488,0.35389
2024-11-24,3.13235,0.88054,0.97303,1.07775,0.41046
2024-11-25,2.42914,0.61913,1.00972,1.05634,0.35695
2024-11-26,2.61946,0.67263,1.0808,1.2268,0.3753
2024-11-27,2.40086,0.65811,0.95239,1.09991,0.32256
2024-11-28,7.02219,0.60613,0.97991,1.19087,0.32256
2024-11-29,2.66609,0.67722,1.02806,1.18934,0.33402
2024-11-30,2.54685,0.79111,1.00207,1.09227,0.36383
2024-12-01,2.68138,0.8278,1.07927,0.98602,0.35925
2024-12-02,2.58889,0.60308,1.1152,1.07927,0.3753
2024-12-03,2.33818,0.62754,1.07316,1.0594,0.36383
2024-12-04,1.93612,0.58779,0.99214,1.00972,0.27899
2024-12-05,2.03396,0.63747,1.07392,1.14042,0.32256
2024-12-06,2.2304,0.71315,1.03953,1.22068,0.30803
2024-12-07,2.91527,0.77735,0.92946,1.14042,0.32332
2024-12-08,3.24471,0.79493,1.0487,1.05329,0.39364
2024-12-09,2.94279,0.60002,1.09456,1.19622,0.30574
2024-12-10,2.89158,0.73225,1.12896,1.19164,0.32179
2024-12-11,2.66074,0.71926,1.13889,1.18781,0.33937
2024-12-12,2.73794,0.76206,1.10603,1.21992,0.32103
2024-12-13,2.76775,0.74296,1.07469,1.2161,0.33326
2024-12-14,2.71195,0.905,1.11902,1.04564,0.32791
2024-12-15,2.75629,0.8729,1.15189,1.04259,0.38753
2024-12-16,2.88699,0.74831,1.22985,1.17329,0.36918
2024-12-17,2.95196,0.88895,1.12208,1.18629,0.40664
2024-12-18,2.95884,0.7376,1.20692,1.13049,0.35695
2024-12-19,2.81056,0.75901,1.23291,1.25278,0.35695
2024-12-20,2.0011,0.81939,1.27266,1.29406,0.37377
2024-12-21,2.342,0.89201,1.43165,1.16718,0.38906
2024-12-22,2.48799,0.91341,1.48974,2.15091,0.3753
2024-12-23,2.15091,0.70932,1.47751,1.79778,0.43262
2024-12-24,2.21588,0.78958,1.75879,1.66554,0.70856
2024-12-25,2.06377,1.03188,1.62885,1.4347,0.63824
2024-12-26,1.57382,0.6948,1.14501,1.36897,0.39364
2024-12-27,1.70911,0.7376,1.12284,1.36438,0.35619
2024-12-28,2.3741,0.89353,2.06912,1.28489,0.41428
2024-12-29,1.72363,0.91341,1.54401,1.12361,0.48231
2024-12-30,1.65025,0.72155,1.37967,1.24514,0.2981
2024-12-31,1.6449,0.82856,1.44005,1.19699,0.36765
2025-01-01,1.86427,0.99061,1.30323,1.12667,0.3646
2025-01-02,1.59216,0.65888,1.14883,1.18017,0.33479
2025-01-03,1.64796,0.70703,1.18093,1.21074,0.32714
2025-01-04,1.78631,0.93175,1.15189,1.22756,0.39746
2025-01-05,1.823,0.80181,1.0487,1.171,0.32332
2025-01-06,1.48286,0.57327,1.13049,1.18858,0.31033
